fullName,games_played,total_points,avg_points,total_rebounds,avg_rebounds,total_assists,avg_assists,avg_fg_percentage,avg_three_pt_percentage,avg_ft_percentage,avg_minutes,total_steals,total_blocks,total_turnovers
A.C. Green,1431,13646.0,9.535988819007686,10557.0,7.377358490566038,1532.0,1.0705800139762405,0.46808315863032846,0.05434311670160727,0.5226687631027254,28.28092243186583,1133.0,593.0,1579.0
A.J. Bramlett,19,8.0,0.42105263157894735,22.0,1.1578947368421053,0.0,0.0,0.09868421052631579,0.0,0.0,7.125,1.0,0.0,3.0
A.J. English,151,1502.0,9.947019867549669,315.0,2.0860927152317883,320.0,2.119205298013245,0.4133311258278146,0.040841059602649006,0.4868211920529802,20.582781456953644,57.0,24.0,203.0
A.J. Guyton,107,446.0,4.168224299065421,82.0,0.7663551401869159,148.0,1.3831775700934579,0.22624299065420558,0.17877570093457945,0.15576635514018694,14.88888888888889,21.0,12.0,62.0
A.J. Lawson,199,610.0,3.0653266331658293,232.0,1.1658291457286432,75.0,0.3768844221105528,0.23770351758793967,0.14443718592964824,0.16409045226130656,9.374160583941606,42.0,17.0,45.0
A.J. Wynder,6,12.0,2.0,3.0,0.5,8.0,1.3333333333333333,0.25,0.0,0.5,6.5,1.0,0.0,4.0
AJ Green,309,1938.0,6.271844660194175,554.0,1.7928802588996764,346.0,1.1197411003236246,0.3306860841423948,0.3123818770226537,0.16844983818770226,19.55007434944238,97.0,20.0,150.0
AJ Griffin,145,757.0,5.220689655172414,189.0,1.303448275862069,84.0,0.5793103448275863,0.2896896551724138,0.24595862068965518,0.17126896551724138,16.752475247524753,51.0,14.0,57.0
AJ Hammons,58,82.0,1.4137931034482758,60.0,1.0344827586206897,7.0,0.1206896551724138,0.15386206896551724,0.06608620689655173,0.06465517241379311,8.10344827586207,1.0,16.0,14.0
AJ Johnson,122,389.0,3.1885245901639343,126.0,1.0327868852459017,134.0,1.098360655737705,0.17731147540983608,0.10087704918032787,0.17872950819672132,14.108271604938272,21.0,6.0,75.0
AJ Price,417,1846.0,4.4268585131894485,436.0,1.0455635491606714,649.0,1.5563549160671464,0.2501199040767386,0.18672901678657075,0.23250359712230215,14.619205298013245,143.0,9.0,279.0
Aamir Simms,4,4.0,1.0,5.0,1.25,2.0,0.5,0.25,0.0,0.25,6.5,0.0,0.0,0.0
Aaron Brooks,879,7144.0,8.127417519908988,1239.0,1.4095563139931742,2159.0,2.4562002275312858,0.3207303754266212,0.2598589306029579,0.38887258248009104,20.08724832214765,401.0,100.0,1141.0
Aaron Craft,8,12.0,1.5,10.0,1.25,6.0,0.75,0.197875,0.125,0.0,14.25,4.0,0.0,7.0
Aaron Estrada,4,13.0,3.25,0.0,0.0,2.0,0.5,0.25,0.125,0.5,7.655,2.0,0.0,0.0
Aaron Gordon,926,11909.0,12.88852813852814,5435.0,5.882034632034632,2339.0,2.5313852813852815,0.4563917748917749,0.27884632034632034,0.5259545454545455,28.77407914764079,620.0,514.0,1274.0
Aaron Gray,550,1241.0,2.2563636363636363,1374.0,2.498181818181818,227.0,0.4127272727272727,0.2655,0.0,0.15036363636363637,11.933333333333334,110.0,109.0,316.0
Aaron Harrison,95,119.0,1.2526315789473683,60.0,0.631578947368421,21.0,0.22105263157894736,0.11508421052631579,0.09201052631578947,0.08772631578947368,9.957446808510639,20.0,3.0,15.0
Aaron Henry,21,12.0,0.5714285714285714,7.0,0.3333333333333333,4.0,0.19047619047619047,0.06823809523809524,0.047619047619047616,0.047619047619047616,6.3,7.0,3.0,5.0
Aaron Holiday,702,3548.0,5.0685714285714285,858.0,1.2257142857142858,1054.0,1.5057142857142858,0.31801666666666667,0.2593503174603175,0.23572428571428572,15.502456768038163,318.0,90.0,480.0
Aaron Jackson,21,22.0,1.0476190476190477,14.0,0.6666666666666666,9.0,0.42857142857142855,0.0872857142857143,0.011904761904761904,0.10714285714285714,7.7,3.0,0.0,4.0
Aaron James,356,3829.0,10.75561797752809,1463.0,4.109550561797753,370.0,1.0393258426966292,0.4513876404494382,0.0,0.4924410112359551,19.21067415730337,45.0,30.0,73.0
Aaron McKie,1005,6612.0,6.57910447761194,2880.0,2.8656716417910446,2381.0,2.3691542288557215,0.3403373134328358,0.1891542288557214,0.3453990049751244,23.892412231030576,998.0,177.0,1169.0
Aaron Miles,47,60.0,1.2765957446808511,35.0,0.7446808510638298,47.0,1.0,0.19559574468085106,0.0,0.1312127659574468,8.727272727272727,11.0,1.0,20.0
Aaron Nesmith,499,3876.0,7.767535070140281,1420.0,2.8456913827655312,476.0,0.9539078156312625,0.34070140280561123,0.28011623246492984,0.36629659318637275,21.848038740920096,260.0,174.0,359.0
Aaron Swinson,9,24.0,2.6666666666666665,8.0,0.8888888888888888,3.0,0.3333333333333333,0.37555555555555553,0.0,0.18522222222222223,5.666666666666667,1.0,0.0,5.0
Aaron Wiggins,450,3378.0,7.506666666666667,1235.0,2.7444444444444445,553.0,1.228888888888889,0.41677333333333333,0.2872733333333333,0.30742888888888886,18.9021977124183,285.0,108.0,372.0
Aaron Williams,969,4449.0,4.591331269349845,2996.0,3.0918472652218782,529.0,0.5459236326109391,0.3415861713106295,0.0010319917440660474,0.3477760577915377,16.295103092783506,298.0,583.0,722.0
Abdel Nader,347,1071.0,3.1043478260869564,428.0,1.2405797101449276,126.0,0.3652173913043478,0.24325217391304346,0.16999130434782608,0.1825072463768116,11.718487394957982,86.0,63.0,153.0
Abdul Gaddy,9,4.0,0.6666666666666666,3.0,0.5,5.0,0.8333333333333334,0.041666666666666664,0.041666666666666664,0.08333333333333333,7.666666666666667,1.0,0.0,0.0
Abdul Jeelani,143,1290.0,9.020979020979022,500.0,3.4965034965034967,160.0,1.118881118881119,0.43834965034965034,0.0,0.5888601398601399,16.76923076923077,67.0,71.0,203.0
Ace Bailey,79,1046.0,13.240506329113924,320.0,4.050632911392405,137.0,1.7341772151898733,0.4225316455696203,0.2999113924050633,0.3180379746835443,26.834415584415584,65.0,50.0,111.0
